Num of parameters,Depth,K,Embedding length,Model name,Embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
600408,16,31,4,MOD_snn_16_31_4-50,EMB_snn_16_31_4-50,0.042036852,0.063686665,0.182792544,0.409554025,0.552533228,0.709275713,0.800853776,0.131850372,0.827706075
600408,16,31,4,MOD_snn_16_31_4-75,EMB_snn_16_31_4-75,0.039527177,0.060765764,0.175877074,0.401470644,0.54006458,0.694867463,0.782933383,0.136113519,0.818104581
600408,16,31,4,MOD_snn_16_31_4-100,EMB_snn_16_31_4-100,0.035819976,0.057553095,0.170759883,0.392712517,0.53110374,0.688503697,0.778544984,0.139747183,0.815577965
600408,16,31,6,MOD_snn_16_31_6-50,EMB_snn_16_31_6-50,0.044731775,0.073853303,0.215059586,0.442518098,0.573841993,0.71785409,0.8033029,0.115558498,0.83527378
600408,16,31,6,MOD_snn_16_31_6-75,EMB_snn_16_31_6-75,0.049754688,0.078608863,0.204915576,0.423980126,0.559584781,0.701561552,0.7891031,0.126684225,0.826802102
600408,16,31,6,MOD_snn_16_31_6-100,EMB_snn_16_31_6-100,0.046215911,0.078873543,0.217790363,0.46061911,0.595977814,0.742613019,0.82509775,0.108370997,0.844760983
600408,16,31,8,MOD_snn_16_31_8-50,EMB_snn_16_31_8-50,0.057279795,0.087295135,0.205874833,0.39205942,0.504850276,0.642102207,0.728971882,0.159173953,0.790009258
600408,16,31,8,MOD_snn_16_31_8-75,EMB_snn_16_31_8-75,0.0515884,0.075405547,0.174156678,0.358076463,0.476822926,0.623541658,0.718130947,0.163424407,0.780925882
600408,16,31,8,MOD_snn_16_31_8-100,EMB_snn_16_31_8-100,0.051281483,0.069138054,0.166933272,0.339689938,0.460931109,0.61149595,0.712296063,0.167416594,0.778565901
600408,16,31,16,MOD_snn_16_31_16-50,EMB_snn_16_31_16-50,0.055646589,0.083563082,0.195096168,0.375433418,0.492560834,0.631866744,0.728631924,0.142945678,0.792184162
600408,16,31,16,MOD_snn_16_31_16-75,EMB_snn_16_31_16-75,0.057537079,0.092783999,0.223582892,0.422233625,0.538823005,0.675383927,0.760569779,0.132120773,0.80868086
600408,16,31,16,MOD_snn_16_31_16-100,EMB_snn_16_31_16-100,0.058980715,0.092233679,0.219688898,0.407284692,0.520835206,0.656989817,0.744950038,0.134669189,0.80299019
600408,16,31,32,MOD_snn_16_31_32-50,EMB_snn_16_31_32-50,0.0666579,0.096823407,0.203770568,0.370982209,0.479099388,0.616706121,0.707319549,0.15353757,0.777399457
600408,16,31,32,MOD_snn_16_31_32-75,EMB_snn_16_31_32-75,0.069262054,0.098771404,0.202070687,0.365522759,0.468754553,0.603530994,0.695577088,0.164512196,0.770109585
600408,16,31,32,MOD_snn_16_31_32-100,EMB_snn_16_31_32-100,0.102260421,0.15245656,0.31200099,0.529240006,0.642059987,0.759523659,0.827594911,0.083487951,0.856694246
614628,24,21,4,MOD_snn_24_21_4-50,EMB_snn_24_21_4-50,0.186389445,0.235161539,0.370915065,0.564084612,0.663034412,0.758717589,0.814396573,0.116640648,0.84849236
614628,24,21,4,MOD_snn_24_21_4-75,EMB_snn_24_21_4-75,0.177360331,0.218240578,0.359775503,0.56657424,0.664772516,0.762822345,0.828921744,0.106081047,0.855650843
614628,24,21,6,MOD_snn_24_21_6-50,EMB_snn_24_21_6-50,0.231129011,0.262608116,0.368304351,0.544629727,0.649409628,0.762495428,0.831407426,0.10272096,0.860701126
614628,24,21,6,MOD_snn_24_21_6-75,EMB_snn_24_21_6-75,0.201456635,0.22841969,0.343267583,0.547201773,0.663560011,0.774177797,0.832629772,0.10553889,0.85584057
614628,24,21,6,MOD_snn_24_21_6-100,EMB_snn_24_21_6-100,0.208606623,0.240851265,0.35568914,0.545995228,0.65525109,0.763074134,0.82535489,0.102974016,0.856487016
614628,24,21,8,MOD_snn_24_21_8-50,EMB_snn_24_21_8-50,0.053799891,0.079463021,0.186928422,0.383904865,0.507710135,0.652766644,0.744213758,0.147519418,0.800849776
614628,24,21,8,MOD_snn_24_21_8-75,EMB_snn_24_21_8-75,0.050864229,0.074248348,0.17270653,0.350889563,0.472853283,0.618530293,0.719029328,0.158265618,0.784133221
614628,24,21,8,MOD_snn_24_21_8-100,EMB_snn_24_21_8-100,0.057929861,0.086332158,0.19741462,0.39416172,0.522193961,0.672016404,0.763332055,0.142173455,0.808292179
614628,24,21,16,MOD_snn_24_21_16-50,EMB_snn_24_21_16-50,0.062209761,0.094804258,0.22666519,0.416206952,0.53407234,0.671349662,0.758601776,0.126538642,0.80930072
614628,24,21,16,MOD_snn_24_21_16-75,EMB_snn_24_21_16-75,0.054250989,0.080219243,0.182455923,0.360457605,0.475101297,0.620156842,0.713287541,0.153380796,0.780804771
614628,24,21,16,MOD_snn_24_21_16-100,EMB_snn_24_21_16-100,0.070809333,0.105585041,0.230068287,0.439211104,0.55802996,0.69373589,0.776379748,0.114712582,0.823161213
614628,24,21,32,MOD_snn_24_21_32-50,EMB_snn_24_21_32-50,0.151400706,0.260096951,0.37757958,0.514233645,0.598250728,0.698230622,0.771418437,0.11760141,0.826166064
614628,24,21,32,MOD_snn_24_21_32-75,EMB_snn_24_21_32-75,0.133501299,0.226954097,0.350393115,0.490112619,0.578007806,0.68064578,0.753181129,0.128944046,0.811915605
614628,24,21,32,MOD_snn_24_21_32-100,EMB_snn_24_21_32-100,0.137275967,0.243962271,0.364940907,0.498503979,0.580052581,0.68576809,0.757855344,0.127366609,0.815179607
581040,32,15,4,MOD_snn_32_15_4-50,EMB_snn_32_15_4-50,0.041948731,0.068516054,0.203713837,0.447980183,0.580927251,0.719977018,0.800871488,0.124965981,0.829588648
581040,32,15,4,MOD_snn_32_15_4-75,EMB_snn_32_15_4-75,0.042353232,0.066261208,0.1922948,0.418305713,0.551569582,0.700678043,0.789214216,0.13034887,0.825119752
581040,32,15,6,MOD_snn_32_15_6-50,EMB_snn_32_15_6-50,0.055197857,0.085962102,0.224683359,0.453920949,0.58539929,0.727405816,0.810792236,0.112500508,0.84160954
581040,32,15,6,MOD_snn_32_15_6-75,EMB_snn_32_15_6-75,0.066302423,0.100529817,0.23089062,0.444316802,0.572782295,0.720691461,0.810543546,0.112694486,0.840693189
581040,32,15,6,MOD_snn_32_15_6-100,EMB_snn_32_15_6-100,0.061147911,0.090411516,0.219441832,0.431774872,0.562358665,0.708851007,0.796991009,0.12010353,0.83270041
581040,32,15,8,MOD_snn_32_15_8-50,EMB_snn_32_15_8-50,0.045846622,0.067891606,0.157874509,0.30740742,0.404460241,0.534632044,0.62239462,0.250239072,0.716391597
581040,32,15,8,MOD_snn_32_15_8-75,EMB_snn_32_15_8-75,0.041080552,0.060297523,0.143154867,0.292685511,0.398725398,0.526887119,0.621138879,0.251601761,0.715121118
581040,32,15,8,MOD_snn_32_15_8-100,EMB_snn_32_15_8-100,0.043794928,0.065487467,0.158416839,0.316477855,0.416353331,0.545066078,0.633093147,0.241986162,0.72084873
581040,32,15,16,MOD_snn_32_15_16-50,EMB_snn_32_15_16-50,0.070779647,0.105834035,0.238726663,0.446842746,0.572740267,0.714323112,0.799291122,0.105974978,0.834448542
581040,32,15,16,MOD_snn_32_15_16-75,EMB_snn_32_15_16-75,0.066937125,0.102557563,0.222487819,0.407633177,0.522161601,0.663370661,0.75499748,0.129451913,0.806749496
581040,32,15,16,MOD_snn_32_15_16-100,EMB_snn_32_15_16-100,0.066903746,0.099147866,0.212335763,0.389317958,0.5041984,0.643992937,0.740372482,0.13555424,0.798635492
581040,32,15,32,MOD_snn_32_15_32-50,EMB_snn_32_15_32-50,0.072504534,0.11183991,0.245820066,0.434909882,0.553565478,0.684874234,0.768990997,0.111504092,0.818662018
581040,32,15,32,MOD_snn_32_15_32-75,EMB_snn_32_15_32-75,0.065893261,0.101721495,0.218213061,0.396882929,0.510178336,0.646274241,0.736212342,0.137930287,0.795542689
581040,32,15,32,MOD_snn_32_15_32-100,EMB_snn_32_15_32-100,0.057626091,0.088269721,0.205573358,0.383481718,0.496430486,0.635311418,0.725855253,0.140437961,0.788999402
