layer,neurons per layer,embedding lengths,dropout,samples per perturbagen,model name,embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_100-50,EMB_triplet_3_512_32_0.5_100-50,0.209871979,0.211359234,0.220579285,0.266310934,0.319850688,0.416976664,0.522813416,0.327691759,0.668416058
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_100-100,EMB_triplet_3_512_32_0.5_100-100,0.19740101,0.201292898,0.212443011,0.259572224,0.317858438,0.418946324,0.526800383,0.331268707,0.660854645
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_50-50,EMB_triplet_3_512_16_0.9_50-50,0.019297442,0.025138518,0.059620156,0.193332593,0.348513361,0.619505952,0.803862332,0.184055073,0.800058883
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_50-100,EMB_triplet_3_512_16_0.9_50-100,0.013166003,0.020225898,0.059189771,0.196266819,0.356671962,0.623579472,0.802466127,0.187675702,0.794828098
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_100-50,EMB_triplet_3_512_16_0.9_100-50,0.014124024,0.01852401,0.038889622,0.118536387,0.209446836,0.349854802,0.470848381,0.35883291,0.620115418
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_100-100,EMB_triplet_3_512_16_0.9_100-100,0.015336814,0.020175321,0.038515443,0.107419804,0.189954871,0.323876533,0.444588502,0.37504186,0.602090453
3,512,32,0.9,32,MOD_triplet_3_512_32_0.9_50-50,EMB_triplet_3_512_32_0.9_50-50,0.016212532,0.028840359,0.082977429,0.213514113,0.333509653,0.487244638,0.618931856,0.251587624,0.740610068
3,512,32,0.9,32,MOD_triplet_3_512_32_0.9_50-100,EMB_triplet_3_512_32_0.9_50-100,0.027544351,0.045266011,0.115642899,0.249670374,0.38097313,0.592425687,0.724042695,0.214692303,0.771647847
3,512,32,0.9,32,MOD_triplet_3_512_32_0.9_100-50,EMB_triplet_3_512_32_0.9_100-50,0.217729987,0.221912929,0.238514445,0.299521183,0.374943028,0.488044765,0.594376654,0.287454457,0.70197907
3,512,32,0.9,32,MOD_triplet_3_512_32_0.9_100-100,EMB_triplet_3_512_32_0.9_100-100,0.038235829,0.052174421,0.092891651,0.177575466,0.269544836,0.400831778,0.523696732,0.339465966,0.64917811
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_50-50,EMB_triplet_3_512_32_0.5_50-50,0.006023962,0.011502364,0.037241398,0.113089143,0.202826309,0.384334634,0.565863932,0.282780924,0.710458381
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_50-100,EMB_triplet_3_512_32_0.5_50-100,0.003265273,0.00668883,0.032012459,0.112851094,0.205743046,0.386174842,0.562757626,0.286295906,0.708505524
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_100-50,EMB_triplet_3_512_32_0.5_100-50,0.019848309,0.022687944,0.03490345,0.081322934,0.137703121,0.254651449,0.36868352,0.440414621,0.553224514
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_100-100,EMB_triplet_3_512_32_0.5_100-100,0.014525712,0.017800886,0.035001819,0.082772173,0.142418032,0.263759581,0.384679394,0.429752636,0.565080655
